Nuclide,Element,Z,N,A,Q_{\beta^{-}},Q_{\beta^{-}n},Q_{\beta^{-}2n},Q_{\beta^{-}3n},Half-life,P1n,P2n,P1n-old,P2n-old,P1n-oldest,P2n-oldest
73Cu,Cu,29,44,73,6606.0(27),1086.7(29),,,4.20(15),0.029,0,0.029,0,0.029(6),
74Cu,Cu,29,45,74,9750.5(66),1515.9(64),,,1.598(14),0.075,0,0.075,0,0.075(16),
75Cu,Cu,29,46,75,8087.6(30),3214.1(34),,,1.224(3),2.7,0,2.7,0,2.7(6),
76Cu,Cu,29,47,76,11327.0(69),3511.6(70),,,0.637(8),7.2,0,7.2,0,7.2(5),
77Cu,Cu,29,48,77,10170(150)\#,5610(150)\#,,,0.4698(20),30.1,0,30.1,0,30.1(20),
78Cu,Cu,29,49,78,12990(500),6220(500),1660(500),,0.3317(20),51,-1,51,-1,51(10),-1
79Cu,Cu,29,50,79,11690(300)\#,7670(300)\#,910(300)\#,,0.2413(21),66,-1,66,-1,66(12),-1
80Cu,Cu,29,51,80,15450(400)\#,9160(400)\#,5140(400)\#,,0.1133(64),58,-1,58,-1,58(9),-1
81Cu,Cu,29,52,81,14780(500)\#,12160(500)\#,5870(500)\#,1850(500)\#,0.0732(68),80,-1,80,-1,80(20),-1
82Cu,Cu,29,53,82,16990(600)\#,12810(600)\#,10190(600)\#,3900(600)\#,0.0323($^{+74 }_{-65}$),-1,-1,-1,-1,-1,-1
83Cu,Cu,29,54,83,-1,-1,-1,-1,-1,0.001,0.001,-1,-1,-1,-1
78Zn,Zn,30,48,78,6222.7(27),437.8(31),,,1.47(15),-1,0,-1,0,-1,
79Zn,Zn,30,49,79,9115.4(29),2202.3(29),,,0.746(42),1.75,0,1.75,0,1.75(45),
80Zn,Zn,30,50,80,7575.1(39),2827.8(32),,,0.5619(30),1.36,0,1.36,0,1.36(12),
81Zn,Zn,30,51,81,11428.3(60),4952.7(58),205.4(54),,0.3035(31),9.8,-1,9.8,-1,9.8(30),-1
82Zn,Zn,30,52,82,10616.8(39),7242.7(45),767.1(42),,0.1779(25),69,-1,69,-1,69(7),-1
83Zn,Zn,30,53,83,12970(300)\#,8570(300)\#,5200(300)\#,,0.0997(30),71,-1,71,-1,>71(29),-1
84Zn,Zn,30,54,84,12160(450)\#,9260(400)\#,4860(400)\#,1480(400)\#,0.0536(81),73,-1,73,-1,73(26),-1
